day;HH:MM:SS;gru
10;00:00:00;1.852
10;00:00:30;1.852
10;00:01:00;1.852
10;00:01:30;1.852
10;00:02:00;1.852
10;00:02:30;1.852
10;00:03:00;1.852
10;00:03:30;1.852
10;00:04:00;1.852
10;00:04:30;1.852
10;00:05:00;1.852
10;00:05:30;1.983
10;00:06:00;2.052
10;00:06:30;2.069
10;00:07:00;2.059
10;00:07:30;2.039
10;00:08:00;2.021
10;00:08:30;2.016
10;00:09:00;2.046
10;00:09:30;2.095
10;00:10:00;2.175
10;00:10:30;2.289
10;00:11:00;2.422
10;00:11:30;2.565
10;00:12:00;2.703
10;00:12:30;2.854
10;00:13:00;3.023
10;00:13:30;3.208
10;00:14:00;3.379
10;00:14:30;3.471
10;00:15:00;3.467
10;00:15:30;3.416
10;00:16:00;3.387
10;00:16:30;3.405
10;00:17:00;3.443
10;00:17:30;3.456
10;00:18:00;3.451
10;00:18:30;3.447
10;00:19:00;3.508
10;00:19:30;3.638
10;00:20:00;3.808
10;00:20:30;3.977
10;00:21:00;4.125
10;00:21:30;4.268
10;00:22:00;4.400
10;00:22:30;4.480
10;00:23:00;4.469
10;00:23:30;4.346
10;00:24:00;4.158
10;00:24:30;3.977
10;00:25:00;3.882
10;00:25:30;3.859
10;00:26:00;3.874
10;00:26:30;3.890
10;00:27:00;3.907
10;00:27:30;3.947
10;00:28:00;4.000
10;00:28:30;4.042
10;00:29:00;4.043
10;00:29:30;3.999
10;00:30:00;3.934
10;00:30:30;3.878
10;00:31:00;3.834
10;00:31:30;3.799
10;00:32:00;3.755
10;00:32:30;3.734
10;00:33:00;3.779
10;00:33:30;3.934
10;00:34:00;4.168
10;00:34:30;4.413
10;00:35:00;4.588
10;00:35:30;4.637
10;00:36:00;4.592
10;00:36:30;4.477
10;00:37:00;4.338
10;00:37:30;4.169
10;00:38:00;3.986
10;00:38:30;3.829
10;00:39:00;3.715
10;00:39:30;3.611
10;00:40:00;3.472
10;00:40:30;3.293
10;00:41:00;3.118
10;00:41:30;2.984
10;00:42:00;2.885
10;00:42:30;2.788
10;00:43:00;2.648
10;00:43:30;2.450
10;00:44:00;2.201
10;00:44:30;1.951
10;00:45:00;1.731
10;00:45:30;1.560
10;00:46:00;1.465
10;00:46:30;1.447
10;00:47:00;1.503
10;00:47:30;1.585
10;00:48:00;1.697
10;00:48:30;1.803
10;00:49:00;1.902
10;00:49:30;1.983
10;00:50:00;2.095
10;00:50:30;2.275
10;00:51:00;2.518
10;00:51:30;2.774
10;00:52:00;2.984
10;00:52:30;3.143
10;00:53:00;3.296
10;00:53:30;3.477
10;00:54:00;3.692
10;00:54:30;3.896
10;00:55:00;4.096
10;00:55:30;4.286
10;00:56:00;4.514
10;00:56:30;4.743
10;00:57:00;4.943
10;00:57:30;5.070
10;00:58:00;5.141
10;00:58:30;5.171
10;00:59:00;5.183
10;00:59:30;5.169
10;01:00:00;5.141
10;01:00:30;5.095
10;01:01:00;5.059
10;01:01:30;5.045
10;01:02:00;5.054
10;01:02:30;5.094
10;01:03:00;5.129
10;01:03:30;5.126
10;01:04:00;5.046
10;01:04:30;4.891
10;01:05:00;4.717
10;01:05:30;4.553
10;01:06:00;4.452
10;01:06:30;4.403
10;01:07:00;4.420
10;01:07:30;4.488
10;01:08:00;4.604
10;01:08:30;4.739
10;01:09:00;4.866
10;01:09:30;4.963
10;01:10:00;5.048
10;01:10:30;5.129
10;01:11:00;5.232
10;01:11:30;5.337
10;01:12:00;5.439
10;01:12:30;5.525
10;01:13:00;5.591
10;01:13:30;5.644
10;01:14:00;5.714
10;01:14:30;5.821
10;01:15:00;5.982
10;01:15:30;6.161
10;01:16:00;6.315
10;01:16:30;6.449
10;01:17:00;6.560
10;01:17:30;6.674
10;01:18:00;6.796
10;01:18:30;6.945
10;01:19:00;7.111
10;01:19:30;7.282
10;01:20:00;7.484
10;01:20:30;7.747
10;01:21:00;8.025
10;01:21:30;8.223
10;01:22:00;8.307
10;01:22:30;8.269
10;01:23:00;8.154
10;01:23:30;7.991
10;01:24:00;7.852
10;01:24:30;7.729
10;01:25:00;7.628
10;01:25:30;7.535
10;01:26:00;7.493
10;01:26:30;7.554
10;01:27:00;7.685
10;01:27:30;7.844
10;01:28:00;7.941
10;01:28:30;7.931
10;01:29:00;7.820
10;01:29:30;7.663
10;01:30:00;7.539
10;01:30:30;7.472
10;01:31:00;7.391
10;01:31:30;7.303
10;01:32:00;7.254
10;01:32:30;7.285
10;01:33:00;7.391
10;01:33:30;7.539
10;01:34:00;7.724
10;01:34:30;7.943
10;01:35:00;8.154
10;01:35:30;8.339
10;01:36:00;8.451
10;01:36:30;8.480
10;01:37:00;8.422
10;01:37:30;8.327
10;01:38:00;8.256
10;01:38:30;8.245
10;01:39:00;8.298
10;01:39:30;8.367
10;01:40:00;8.396
10;01:40:30;8.354
10;01:41:00;8.270
10;01:41:30;8.264
10;01:42:00;8.395
10;01:42:30;8.630
10;01:43:00;8.857
10;01:43:30;9.003
10;01:44:00;9.073
10;01:44:30;9.118
10;01:45:00;9.125
10;01:45:30;9.146
10;01:46:00;9.182
10;01:46:30;9.290
10;01:47:00;9.425
10;01:47:30;9.526
10;01:48:00;9.525
10;01:48:30;9.453
10;01:49:00;9.355
10;01:49:30;9.272
10;01:50:00;9.166
10;01:50:30;9.069
10;01:51:00;8.973
10;01:51:30;8.858
10;01:52:00;8.703
10;01:52:30;8.519
10;01:53:00;8.376
10;01:53:30;8.293
10;01:54:00;8.311
10;01:54:30;8.426
10;01:55:00;8.585
10;01:55:30;8.723
10;01:56:00;8.885
10;01:56:30;9.110
10;01:57:00;9.402
10;01:57:30;9.693
10;01:58:00;9.980
10;01:58:30;10.281
10;01:59:00;10.522
10;01:59:30;10.704
10;02:00:00;10.841
10;02:00:30;11.093
10;02:01:00;11.463
10;02:01:30;11.926
10;02:02:00;12.380
10;02:02:30;12.797
10;02:03:00;13.167
10;02:03:30;13.464
10;02:04:00;13.668
10;02:04:30;13.778
10;02:05:00;13.809
10;02:05:30;13.797
10;02:06:00;13.750
10;02:06:30;13.665
10;02:07:00;13.573
10;02:07:30;13.474
10;02:08:00;13.405
10;02:08:30;13.350
10;02:09:00;13.270
10;02:09:30;13.168
10;02:10:00;13.048
10;02:10:30;12.997
10;02:11:00;13.033
10;02:11:30;13.170
10;02:12:00;13.327
10;02:12:30;13.476
10;02:13:00;13.530
10;02:13:30;13.479
10;02:14:00;13.330
10;02:14:30;13.231
10;02:15:00;13.251
10;02:15:30;13.442
10;02:16:00;13.765
10;02:16:30;14.216
10;02:17:00;14.677
10;02:17:30;15.048
10;02:18:00;15.270
10;02:18:30;15.425
10;02:19:00;15.543
10;02:19:30;15.724
10;02:20:00;15.980
10;02:20:30;16.344
10;02:21:00;16.677
10;02:21:30;16.828
10;02:22:00;16.737
10;02:22:30;16.522
10;02:23:00;16.331
10;02:23:30;16.252
10;02:24:00;16.262
10;02:24:30;16.286
10;02:25:00;16.172
10;02:25:30;15.830
10;02:26:00;15.258
10;02:26:30;14.564
10;02:27:00;13.887
10;02:27:30;13.339
10;02:28:00;12.962
10;02:28:30;12.715
10;02:29:00;12.457
10;02:29:30;12.139
10;02:30:00;11.706
10;02:30:30;11.208
10;02:31:00;10.587
10;02:31:30;9.930
10;02:32:00;9.292
10;02:32:30;8.783
10;02:33:00;8.405
10;02:33:30;8.232
10;02:34:00;8.033
10;02:34:30;8.197
10;02:35:00;8.197
10;02:35:30;8.197
10;02:36:00;8.197
10;02:36:30;8.197
10;02:37:00;8.197
10;02:37:30;8.197
10;02:38:00;8.197
10;02:38:30;8.197
10;02:39:00;8.197
10;02:39:30;8.197
10;00:00:00;9.419
10;00:00:30;9.419
10;00:01:00;9.419
10;00:01:30;9.419
10;00:02:00;9.419
10;00:02:30;9.419
10;00:03:00;9.419
10;00:03:30;9.419
10;00:04:00;9.419
10;00:04:30;9.419
10;00:05:00;9.419
10;00:05:30;9.595
10;00:06:00;9.641
10;00:06:30;9.553
10;00:07:00;9.322
10;00:07:30;9.076
10;00:08:00;8.872
10;00:08:30;8.734
10;00:09:00;8.593
10;00:09:30;8.467
10;00:10:00;8.373
10;00:10:30;8.271
10;00:11:00;8.183
10;00:11:30;8.022
10;00:12:00;7.773
10;00:12:30;7.518
10;00:13:00;7.287
10;00:13:30;7.178
10;00:14:00;7.117
